source_key	output_id	category	author	title	landing_url	direct_url	license	flags
large_library	large_library	study	xkeril	Library ambience	https://freesound.org/people/xkeril/sounds/613781	https://cdn.freesound.org/previews/613/613781_13504080-hq.mp3	CC0-1.0	speech_audit
quiet_reading_room	quiet_reading_room	study	xkeril	Quiet library ambience	https://freesound.org/people/xkeril/sounds/620683	https://cdn.freesound.org/previews/620/620683_13504080-hq.mp3	CC0-1.0	speech_audit
pencil_on_paper	pencil_on_paper	study	Joseph Sardin	Pencil	https://bigsoundbank.com/pencil-s0221.html	https://bigsoundbank.com/UPLOAD/bwf-en/0221.wav	CC0-1.0	original_bwf,loop_crossfade
fountain_pen	fountain_pen	study	Anthousai	writing - pen 01.wav	https://freesound.org/people/Anthousai/sounds/337086	https://cdn.freesound.org/previews/337/337086_5923045-hq.mp3	CC0-1.0	loop_crossfade
turning_pages	turning_pages	study	Joseph Sardin	Pages that turn 5	https://bigsoundbank.com/pages-that-turn-5-s2212.html	https://bigsoundbank.com/UPLOAD/bwf-en/2212.wav	CC0-1.0	original_bwf,event_layer
soft_keyboard	soft_keyboard	study	Joseph Sardin	Computer keyboard	https://bigsoundbank.com/computer-keyboard-s0229.html	https://bigsoundbank.com/UPLOAD/bwf-en/0229.wav	CC0-1.0	original_bwf,loop_crossfade
mechanical_keyboard	mechanical_keyboard	study	Nmb910	Mechanical Keyboard Typing	https://freesound.org/people/Nmb910/sounds/234923	https://cdn.freesound.org/previews/234/234923_1747646-hq.mp3	CC0-1.0	loop_crossfade
distant_lecture_hall	distant_lecture_hall	study	okieactor	Classroom Ambience - High School Class.wav	https://freesound.org/people/okieactor/sounds/417041	https://cdn.freesound.org/previews/417/417041_7107077-hq.mp3	CC0-1.0	speech_audit
morning_cafe	morning_cafe	spaces	Joseph Sardin	Atmosphere bar 2	https://bigsoundbank.com/atmosphere-bar-2-s0480.html	https://bigsoundbank.com/UPLOAD/bwf-en/0480.wav	CC0-1.0	original_bwf,speech_audit
rainy_cafe_cafe		spaces	Joseph Sardin	Atmosphere bar 2	https://bigsoundbank.com/atmosphere-bar-2-s0480.html	https://bigsoundbank.com/UPLOAD/bwf-en/0480.wav	CC0-1.0	mix_source,original_bwf,speech_audit
evening_office	evening_office	spaces	Joseph Sardin	Noisy office industry	https://bigsoundbank.com/noisy-office-industry-s0502.html	https://bigsoundbank.com/UPLOAD/bwf-en/0502.wav	CC0-1.0	original_bwf,speech_audit
bookshop	bookshop	spaces	ilmari_freesound	2022-09-09-bookstore-ambience-zoom-f3-binaural-okm-ii.wav	https://freesound.org/people/ilmari_freesound/sounds/649440	https://cdn.freesound.org/previews/649/649440_12458758-hq.mp3	CC0-1.0	speech_audit
museum_hall	museum_hall	spaces	ilmari_freesound	2022-11-08-museum-ambience-002.wav	https://freesound.org/people/ilmari_freesound/sounds/658303	https://cdn.freesound.org/previews/658/658303_12458758-hq.mp3	CC0-1.0	speech_audit
rain_on_window	rain_on_window	weather	ikayuka	rain on window	https://freesound.org/people/ikayuka/sounds/273333	https://cdn.freesound.org/previews/273/273333_1158384-hq.mp3	CC0-1.0	clean_loop
rain_on_tent	rain_on_tent	weather	Joseph Sardin	Rain and storm in a tent	https://bigsoundbank.com/rain-and-storm-in-a-tent-s0820.html	https://bigsoundbank.com/UPLOAD/bwf-en/0820.wav	CC0-1.0	original_bwf,clean_loop
distant_thunder	distant_thunder	weather	Joseph Sardin	Rain and storm 2	https://bigsoundbank.com/rain-and-storm-2-s0740.html	https://bigsoundbank.com/UPLOAD/bwf-en/0740.wav	CC0-1.0	original_bwf,dynamic_peaks
snowstorm	snowstorm	weather	JSilverSound	Howling wind	https://freesound.org/people/JSilverSound/sounds/528328	https://cdn.freesound.org/previews/528/528328_6566796-lq.mp3	CC0-1.0	trim_required,preview_fallback
summer_rain	summer_rain	weather	Joseph Sardin	Summer rain on terrace	https://bigsoundbank.com/summer-rain-on-terrace-s1019.html	https://bigsoundbank.com/UPLOAD/bwf-en/1019.wav	CC0-1.0	original_bwf,clean_loop
rainy_night_city	rainy_night_city	weather	Joseph Sardin	Paris by night	https://bigsoundbank.com/paris-by-night-s0680.html	https://bigsoundbank.com/UPLOAD/bwf-en/0680.wav	CC0-1.0	original_bwf,mix_with_summer_rain,traffic_peaks
